25.00	13.00	35.00	36.00	41.00	40.00	29.00
27.00	11.00	28.00	36.00	35.00	38.00	29.00
30.00	11.00	24.00	33.00	30.00	30.00	30.00
21.00	10.00	22.00	31.00	26.00	31.00	18.00
33.00	14.00	30.00	42.00	38.00	43.00	30.00
26.00	14.00	34.00	38.00	40.00	34.00	27.00
36.00	10.00	40.00	50.00	50.00	40.00	30.00
28.00	10.00	22.00	40.00	35.00	39.00	29.00
28.00	19.00	35.00	39.00	32.00	33.00	13.00
27.00	15.00	24.00	37.00	30.00	30.00	30.00
32.00	13.00	27.00	44.00	42.00	42.00	29.00
27.00	15.00	36.00	35.00	33.00	50.00	30.00
34.00	13.00	32.00	47.00	44.00	48.00	30.00
20.00	13.00	28.00	25.00	35.00	40.00	21.00
21.00	12.00	29.00	34.00	29.00	32.00	27.00
34.00	13.00	38.00	45.00	45.00	45.00	29.00
32.00	17.00	30.00	45.00	43.00	42.00	30.00
26.00	16.00	40.00	50.00	50.00	50.00	30.00
26.00	14.00	31.00	40.00	41.00	40.00	28.00
32.00	13.00	34.00	43.00	47.00	45.00	30.00
30.00	13.00	31.00	44.00	23.00	37.00	27.00
29.00	14.00	33.00	47.00	44.00	45.00	27.00
28.00	10.00	33.00	37.00	48.00	43.00	27.00
33.00	19.00	38.00	49.00	46.00	50.00	30.00
26.00	14.00	27.00	35.00	38.00	38.00	30.00
27.00	14.00	34.00	41.00	42.00	42.00	6.00
24.00	11.00	23.00	34.00	36.00	35.00	30.00
36.00	12.00	25.00	40.00	31.00	46.00	30.00
25.00	11.00	30.00	33.00	36.00	37.00	6.00
27.00	15.00	26.00	43.00	43.00	43.00	24.00
33.00	15.00	34.00	50.00	50.00	50.00	30.00
29.00	14.00	31.00	42.00	36.00	38.00	6.00
27.00	13.00	31.00	48.00	39.00	46.00	30.00
27.00	17.00	40.00	49.00	49.00	50.00	26.00
34.00	14.00	34.00	49.00	44.00	49.00	30.00
21.00	15.00	31.00	38.00	39.00	39.00	28.00
25.00	13.00	37.00	43.00	40.00	44.00	30.00
24.00	14.00	28.00	35.00	35.00	35.00	25.00
31.00	11.00	26.00	50.00	38.00	46.00	7.00
27.00	12.00	34.00	50.00	47.00	48.00	30.00
26.00	15.00	32.00	40.00	40.00	40.00	30.00
32.00	14.00	35.00	50.00	47.00	50.00	30.00
27.00	12.00	30.00	39.00	35.00	40.00	6.00
28.00	13.00	31.00	40.00	40.00	40.00	30.00
28.00	11.00	25.00	36.00	36.00	33.00	26.00
28.00	10.00	26.00	41.00	38.00	34.00	28.00
27.00	5.00	33.00	40.00	34.00	37.00	25.00
32.00	18.00	33.00	49.00	41.00	41.00	9.00
26.00	14.00	27.00	37.00	31.00	33.00	6.00
30.00	13.00	31.00	47.00	38.00	37.00	24.00
24.00	11.00	28.00	31.00	26.00	38.00	28.00
26.00	13.00	31.00	41.00	33.00	35.00	30.00
36.00	16.00	40.00	50.00	34.00	50.00	6.00
30.00	16.00	32.00	43.00	42.00	45.00	27.00
25.00	13.00	29.00	40.00	39.00	33.00	20.00
25.00	15.00	30.00	37.00	40.00	31.00	30.00
28.00	14.00	31.00	50.00	42.00	43.00	27.00
23.00	16.00	32.00	34.00	39.00	39.00	30.00
24.00	10.00	24.00	34.00	39.00	20.00	24.00
33.00	10.00	35.00	48.00	38.00	47.00	30.00
26.00	18.00	34.00	41.00	43.00	42.00	28.00
27.00	10.00	24.00	49.00	39.00	40.00	30.00
36.00	15.00	35.00	50.00	50.00	50.00	30.00
26.00	12.00	26.00	36.00	29.00	37.00	26.00
30.00	15.00	33.00	43.00	42.00	43.00	6.00
24.00	15.00	24.00	32.00	22.00	31.00	28.00
29.00	14.00	32.00	39.00	39.00	40.00	29.00
